inchikey,smi_pre,smi_post,lambda_sTDA (nm),f1_sTDA,lumo_dft,homo_dft,dmom_dft (D),lambda_z (nm),f1_z,lumo_z,homo_z,dmom_z (D),lumo_mopac,homo_mopac,dmom_mopac (D),lambda_tddft (nm),f1_tddft,lambda_exp_max (nm),epsilon_exp_max ,lambda_exp_min (nm),epsilon_exp_min ,solvent
WOOSBMKYYZFLDP-QWHCGFSZSA-N,CCC[C@H]([C@@H](c1ccccc1)C[N+](=O)[O-])C=O,CCC[C@H]([C@@H](c1ccccc1)C[N+](=O)[O-])C=O,299.8,0.000155258,0.3976,-9.4383,3.82446,420.14299696883654,0.000151998,-2.5143,-9.0291,144.80469,-0.165,-9.923,4.02643,NaN,NaN,NaN,NaN,NaN,NaN,NaN
QOLFLGLYKWYNKM-UHFFFAOYSA-N,Clc1ccc(cc1)c1cc(n(n1)Cc1ccc(cc1)C(C)(C)C)c1nnc(o1)COc1ccc(cc1)Cl,Clc1ccc(cc1)c1cc(n(n1)Cc1ccc(cc1)C(C)(C)C)c1nnc(o1)COc1ccc(cc1)Cl,256.6,0.654598254,0.3619,-8.3822,2.72452,337.1884645240785,0.226189581,-1.1306,-8.2808,474.14488,-1.183,-9.148,3.7385,NaN,NaN,263,39600,263,39600,DCM
NGXFYMZVUKZEMQ-UHFFFAOYSA-N,CC(=O)Nc1nc(c(s1)c1ccccc1)c1ccccc1,CC(=O)Nc1nc(c(s1)c1ccccc1)c1ccccc1,285.8,0.379944219,0.3914,-7.9693,3.86362,354.84887923727433,0.280077284,-0.5434,-7.7385,169.90619,-1.03,-8.791,3.26228,NaN,NaN,358.1,NaN,358.1,NaN,NaN
OOALVFTWXXTRFY-OAHLLOKOSA-N,O[C@@H](c1ccc(cc1)C(F)(F)F)C#Cc1ccccc1,O[C@@H](c1ccc(cc1)C(F)(F)F)C#Cc1ccccc1,245.0,0.263427976,0.5763,-8.9362,3.33471,326.18836728625007,0.006941485,-0.0562,-8.4231,276.69126,-0.75,-9.74,3.94123,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IQRZRZYKNJFNEA-UHFFFAOYSA-N,COc1cccc(c1O)c1nc2n(c1Cc1ccccc1)cccc2,COc1cccc(c1O)c1nc2n(c1Cc1ccccc1)cccc2,293.6,0.219509971,0.4992,-7.7276,5.98284,374.91441912761917,0.255167731,-0.447,-7.359,94.53814,-0.794,-8.363,5.20395,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SFHLRCGRPZVJLH-UHFFFAOYSA-N,CCOc1c(C(=O)OC)c(c2n1nccc2)C(=O)OC,CCOc1c(C(=O)OC)c(c2n1nccc2)C(=O)OC,345.7,0.122104852,-0.0209,-7.9947,2.73774,400.7246231593525,0.215701709,-1.2394,-8.0394,49.34412,-1.2,-9.02,4.02221,NaN,NaN,431.0,NaN,343.0,NaN,Cyclohexane
VMXIXDNPAHBYAP-UHFFFAOYSA-N,COc1cccc(c1O)C=NNc1nc(NN=Cc2cccc(c2O)OC)nc(n1)N,COc1cccc(c1O)C=NNc1nc(NN=Cc2cccc(c2O)OC)nc(n1)N,295.3,1.310364449,0.6398,-7.7033,2.89725,310.426135216584,0.702165391,-0.2763,-8.1129,78.08500,-0.602,-8.499,5.24043,302.09101166911813,1.2367806517,315,39600,315,39600,NaN
NIBNUTFPMLLFGJ-UHFFFAOYSA-N,CCCCCCCOc1c(ccc2c1ccc(c2OCCCCCCC)C(=Cc1ccc(cc1)C#N)C#N)C(=Cc1ccc(cc1)C#N)C#N,COc1c(ccc2c1ccc(c2OC)C(=Cc1ccc(cc1)C#N)C#N)C(=Cc1ccc(cc1)C#N)C#N,308.4,0.024529727,-0.8031,-8.5913,2.75184,341.64838359190867,0.027876942,-0.8256,-8.0789,9.78604,-1.532,-9.282,5.45205,NaN,NaN,412.0,NaN,361.0,NaN,dichloromethane
YCANAXVBJKNANM-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)c2c1cccc2[N+](=O)[O-],O=C1c2ccccc2C(=O)c2c1cccc2[N+](=O)[O-],348.0,3.694e-06,-1.4752,-10.0457,3.86503,428.2701153903408,5.958e-06,-2.2995,-9.9175,100.47931,-2.061,-10.573,4.2021,NaN,NaN,325,NaN,325,NaN,NaN
RGAYYSAUTOWAMJ-PWHSHALESA-N,OC[C@H]1O[C@H](C[C@@]1(O)n1nnc(c1)COc1ccc2c(c1)oc(=O)cc2C)n1cc(C)c(=O)[nH]c1=O,OC[C@H]1O[C@H](C[C@@]1(O)n1nnc(c1)COc1ccc2c(c1)oc(=O)cc2C)n1cc(C)c(=O)[nH]c1=O,277.6,0.339207173,0.1445,-8.5118,5.74481,327.0487955829693,0.377220001,-1.1476,-8.7414,126.75686,-1.045,-9.338,5.41957,NaN,NaN,319,NaN,319,NaN,NaN
KSQAVLQWRSONDD-UHFFFAOYSA-N,CCN(c1ccc(c(c1)O)c1nc2c([nH]1)ccc(c2C(=O)OC)C(=O)OC)CC,CCN(c1ccc(c(c1)O)c1nc2c([nH]1)ccc(c2C(=O)OC)C(=O)OC)CC,299.1,1.050258349,0.4102,-7.3534,7.01485,369.5505168569409,0.677288466,-0.8268,-7.7216,286.66828,-0.939,-8.25,9.03882,314.49710323729664,1.0681367539,515.0,NaN,385.0,NaN,NaN
FXCXPBUSSDEKHP-UHFFFAOYSA-N,O=c1oc2ccccc2cc1N=NC1(Cc2cc(ccc2OC1=O)c1ccccc1)C(=O)C,O=c1oc2ccccc2cc1N=NC1(Cc2cc(ccc2OC1=O)c1ccccc1)C(=O)C,452.3,0.001738978,-1.3551,-8.3344,7.10642,501.75717687375015,0.000387325,-2.1906,-8.1965,131.71921,-1.782,-9.276,7.79799,NaN,NaN,312,NaN,312,NaN,NaN
AUJKKUJAUUHPIQ-UHFFFAOYSA-N,CCCCCCn1c2ccc(cc2c2c1cccc2)C=C(c1ccc(s1)C=C1C(=O)NC(=O)NC1=O)C#N,Cn1c2ccc(cc2c2c1cccc2)C=C(c1ccc(s1)C=C1C(=O)NC(=O)NC1=O)C#N,326.0,0.706612121,-1.2993,-8.0426,8.35988,465.9308470706639,0.142638819,-1.7393,-7.8329,177.39224,-1.93,-8.481,6.77912,NaN,NaN,524,41500,524,41500,chloroform
VUGIJUKMUSPJQE-UHFFFAOYSA-N,Cc1nn(c2c1c1nc3c(n1c(c2)c1ccccc1)cc(cc3)C#Cc1ccccc1)c1ccccc1,Cc1nn(c2c1c1nc3c(n1c(c2)c1ccccc1)cc(cc3)C#Cc1ccccc1)c1ccccc1,310.4,0.608069463,0.2902,-7.3737,4.93722,372.4367630084219,0.184553313,-0.5434,-7.2531,93.67551,-0.91,-8.423,5.57689,NaN,NaN,302.0,NaN,209.0,NaN,NaN
XTZWPAISJPJALU-UHFFFAOYSA-N,Cc1c(=O)n2c(c1c1ccccc1)cc1n(c2=O)c(C)cc1C,Cc1c(=O)n2c(c1c1ccccc1)cc1n(c2=O)c(C)cc1C,354.6,0.670016405,-0.564,-7.4221,6.22106,436.256855754763,0.471395024,-1.2997,-7.4304,113.51445,-1.399,-8.28,5.10535,NaN,NaN,437.0,NaN,278.0,NaN,Cyclohexane
