inchikey,smi_pre,smi_post,lambda_sTDA (nm),f1_sTDA,lumo_dft,homo_dft,dmom_dft (D),lambda_z (nm),f1_z,lumo_z,homo_z,dmom_z (D),lumo_mopac,homo_mopac,dmom_mopac (D),lambda_tddft (nm),f1_tddft,lambda_exp_max (nm),epsilon_exp_max ,lambda_exp_min (nm),epsilon_exp_min ,solvent
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,OC[C@@H]([C@H]1OC(=O)C(=C1O)O)O,OC[C@@H]([C@H]1OC(=O)C(=C1O)O)O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Nan,NaN,NaN,NaN,NaN,NaN,NaN,280,NaN,280,NaN,NaN
WMBWREPUVVBILR-WIYYLYMNSA-N,Oc1cc(O)c2c(c1)O[C@@H]([C@@H](C2)OC(=O)c1cc(O)c(c(c1)O)O)c1cc(O)c(c(c1)O)O,Oc1cc(O)c2c(c1)O[C@@H]([C@@H](C2)OC(=O)c1cc(O)c(c(c1)O)O)c1cc(O)c(c(c1)O)O,263.5,0.013442508,0.7857,-8.0182,4.27854,309.4962516363047,0.018574252,-0.9437,-8.3628,109.87824,-0.911,-8.907,3.70415,NaN,NaN,280,NaN,280,NaN,NaN
RKIBZFOZIJTIJU-UHFFFAOYSA-N,Brc1[nH]c2c(n1)c(Br)c(c(c2Br)Br)Br,Brc1[nH]c2c(n1)c(Br)c(c(c2Br)Br)Br,264.0,0.06144223,0.1205,-8.8347,3.58474,329.21985768853864,7.12e-07,-1.0813,-9.2145,67.48570,-1.534,-9.393,4.12557,NaN,NaN,940,NaN,940,NaN,NaN
FLMQUWVILHJCFJ-UHFFFAOYSA-N,Clc1ccc(c(c1)Cl)OCCn1cncc1,Clc1ccc(c(c1)Cl)OCCn1cncc1,245.2,0.01320909,1.0193,-8.8676,3.86453,276.011127349741,0.010132014,-0.2944,-8.4353,176.48539,-0.751,-9.424,6.51081,NaN,NaN,254,NaN,254,NaN,NaN
HCVBQXINVUFVCE-UHFFFAOYSA-N,COC(=O)C(CC(=O)O)(CC(=O)O)O,COC(=O)C(CC(=O)O)(CC(=O)O)O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Nan,NaN,NaN,NaN,NaN,NaN,NaN,1666.6666666666667,NaN,1666.6666666666667,NaN,NaN
AIIUQHYYFAFVER-DTZQCDIJSA-N,CC(=O)O[C@H]1[C@@H](O[C@@H]([C@H]1C(F)(F)F)COC(=O)c1ccccc1)n1ccc(=O)[nH]c1=O,CC(=O)O[C@H]1[C@@H](O[C@@H]([C@H]1C(F)(F)F)COC(=O)c1ccccc1)n1ccc(=O)[nH]c1=O,242.5,0.011785684,0.4642,-9.3706,3.32277,303.288156569236,0.00052342,-0.9047,-9.3916,172.62243,-1.004,-9.841,3.41192,NaN,NaN,931,NaN,931,NaN,NaN
UGCLEKVSHFQKOD-LLVKDONJSA-N,COC(=O)Cc1ccc(cc1)OC[C@H]1OC1,COC(=O)Cc1ccc(cc1)OC[C@H]1OC1,245.9,0.039421678,1.5588,-8.4152,2.38065,280.9521831078714,0.024476906,0.0155,-8.617,20.26492,0.018,-9.058,2.03847,NaN,NaN,225,NaN,225,NaN,NaN
GSDSWSVVBLHKDQ-UHFFFAOYSA-N,CN1CCN(CC1)c1c(F)cc2c3c1OCC(n3cc(c2=O)C(=O)O)C,CN1CCN(CC1)c1c(F)cc2c3c1OCC(n3cc(c2=O)C(=O)O)C,291.8,0.049057736,0.0174,-8.3155,10.03869,345.6487270853182,0.00014355,-1.3137,-8.8505,222.11339,-1.049,-8.752,11.47002,NaN,NaN,820,NaN,820,NaN,NaN
GXOAJZBMIZDGCK-TVONUNMFSA-N,OC[C@H]1O[C@@H](N=C=C2CC(=O)c3c4c2nc2cc(Cl)ccc2c4ncc3)[C@@H]([C@H]([C@@H]1O)O)O,OC[C@H]1O[C@@H](N=C=C2CC(=O)c3c4c2nc2cc(Cl)ccc2c4ncc3)[C@@H]([C@H]([C@@H]1O)O)O,345.9,0.072535587,-0.985,-8.4437,3.35184,386.2436087398868,0.051351838,-1.6267,-8.3073,133.25669,-1.727,-9.207,3.76588,NaN,NaN,943,NaN,943,NaN,NaN
UFCRKZJPBDDMSF-UHFFFAOYSA-N,CCCCCCCCCCCCNc1ccc(cc1)O,CNc1ccc(cc1)O,280.5,0.081007299,1.8072,-7.2366,2.13247,295.9050081276937,0.053181234,0.6298,-7.9666,42.74140,0.108,-8.07,2.4281,NaN,NaN,254,NaN,254,NaN,NaN
YKVZXTVCDKRKMK-UHFFFAOYSA-N,Oc1ccccc1c1nc2c(o1)c(cc(c2)C(C)(C)C)C(C)(C)C,Oc1ccccc1c1nc2c(o1)c(cc(c2)C(C)(C)C)C(C)(C)C,285.5,0.634135114,0.3223,-8.0676,2.75743,353.8361826641086,0.505822812,-0.755,-7.8368,168.39505,-0.867,-8.842,2.93357,NaN,NaN,254,NaN,254,NaN,NaN
VYRIUISAJSZSMN-UHFFFAOYSA-N,OC(=O)C(Cn1cnc2c1ncnc2N(C)C)N,OC(=O)C(Cn1cnc2c1ncnc2N(C)C)N,249.8,0.28069835,1.2166,-8.0578,3.77033,311.1272231003856,0.209156456,-0.0044,-7.9215,84.30852,-0.516,-8.714,6.4553,NaN,NaN,267.60,NaN,267.60,NaN,NaN
FLZJPXXEOYSLLE-UHFFFAOYSA-N,OC(=O)C(Cn1cnc2c1ncnc2NC1CC1)N,OC(=O)C(Cn1cnc2c1ncnc2NC1CC1)N,246.1,0.295371903,1.1469,-8.3086,3.94389,309.2646505500216,0.22254657,-0.0172,-7.9648,104.67693,-0.744,-9.016,5.16835,NaN,NaN,266.50,NaN,266.50,NaN,NaN
PVYVIDXWYSFKDW-UHFFFAOYSA-N,OC(=O)C(Cn1cnc2c1ncnc2S)N,OC(=O)C(Cn1cnc2c1ncnc2S)N,255.8,0.003472214,0.3384,-8.8825,5.61021,300.4949064602609,0.14847738,-0.3905,-8.5664,88.22148,-1.474,-9.193,1.7935,NaN,NaN,321.40,NaN,321.40,NaN,NaN
URPKYCNHEBPZBI-UHFFFAOYSA-N,OC(=O)C(Cn1cnc2c1nc(N)nc2N(C)C)N,OC(=O)C(Cn1cnc2c1nc(N)nc2N(C)C)N,247.7,0.312070445,1.6096,-7.6824,5.07086,324.396123509952,0.195159527,0.1292,-7.6405,81.48256,-0.168,-8.516,6.77533,NaN,NaN,293.80,NaN,293.80,NaN,NaN
BPXNUSGNTFQPOW-UHFFFAOYSA-N,OC(=O)C(Cn1cnc2c1nc(N)nc2NC1CC1)N,OC(=O)C(Cn1cnc2c1nc(N)nc2NC1CC1)N,246.7,0.308292608,1.5877,-7.7821,5.39602,323.5495783024626,0.207105374,0.1245,-7.659,103.01640,-0.363,-8.741,5.83276,NaN,NaN,296.10,NaN,296.10,NaN,NaN
BYXRWAYRLQEIRT-UHFFFAOYSA-N,OC(=O)C(Cn1cnc2c1nc(N)[nH]c2=O)N,OC(=O)C(Cn1cnc2c1nc(N)[nH]c2=O)N,241.5,0.194960104,1.5137,-8.2252,11.21665,343.73218299280194,0.169527437,-0.5207,-8.0811,46.80640,-0.862,-9.348,5.86641,NaN,NaN,278.00,NaN,278.00,NaN,NaN
SUZCEFCFAIWLGL-UHFFFAOYSA-N,OC(=O)C(Cn1cnc2c1nc(N)nc2S)N,OC(=O)C(Cn1cnc2c1nc(N)nc2S)N,267.6,0.252184117,0.7409,-8.2101,6.59842,321.4524200298254,0.187847447,-0.2086,-8.0638,89.28010,-1.093,-8.994,2.55786,NaN,NaN,342.20,NaN,342.20,NaN,NaN
IBGFDOZOOQCQNZ-UHFFFAOYSA-N,COc1ccc2c(c1)oc(c2C)c1ccc(cc1O)O,COc1ccc2c(c1)oc(c2C)c1ccc(cc1O)O,279.1,0.772689282,0.9911,-7.3582,1.21926,345.35988413789323,0.561245363,-0.2819,-7.4632,70.56095,-0.513,-8.308,1.09711,NaN,NaN,254,NaN,254,NaN,NaN
VROMGRNEHGVMEY-HHJYCPGKSA-N,[N-]=[N+]=NC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1OC)O)O)n1c2c3[nH]c4c(c3c3c(c2c2c1cccc2)c(=O)[nH]c3=O)cccc4,[N-]=[N+]=NC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1OC)O)O)n1c2c3[nH]c4c(c3c3c(c2c2c1cccc2)c(=O)[nH]c3=O)cccc4,344.8,0.023739585,-0.114,-7.6233,9.58241,544.9854874967194,1.0914e-05,-1.2038,-7.7722,26.06134,-1.338,-8.306,7.27684,NaN,NaN,943,NaN,943,NaN,NaN
ZTNMWTBCSLGLQB-UHFFFAOYSA-N,[O-][N+](=O)OCc1ccc(cc1)C(=O)NNC(=O)C1(C)CCc2c(O1)c(C)c(c(c2C)O)C,[O-][N+](=O)OCc1ccc(cc1)C(=O)NNC(=O)C1(C)CCc2c(O1)c(C)c(c(c2C)O)C,260.9,1.6791e-05,0.1382,-7.714,5.01629,375.8235780706386,4.348e-06,-2.8943,-8.1204,296.01808,-1.008,-8.403,2.28293,NaN,NaN,254,NaN,254,NaN,NaN
MPFXZISIZJYPKW-UHFFFAOYSA-N,Oc1cc2oc(cc(=S)c2c(c1O)O)c1ccccc1,Oc1cc2oc(cc(=S)c2c(c1O)O)c1ccccc1,364.3,0.000185455,-0.7366,-8.0387,3.54694,566.655385765556,4.635e-05,-1.6664,-8.5206,193.35192,-1.747,-8.742,3.65034,NaN,NaN,254,NaN,254,NaN,NaN
ZKNBQUBEUHJKOQ-UHFFFAOYSA-N,O=C(c1c(O)cc(c(c1O)O)O)C=Cc1ccccc1,O=C(c1c(O)cc(c(c1O)O)O)C=Cc1ccccc1,317.9,0.415192397,-0.38,-7.9365,3.36414,366.27532763812013,0.001754519,-0.9941,-8.5852,163.67786,-0.902,-8.939,2.6824,NaN,NaN,254,NaN,254,NaN,NaN
OVGSPXBNBNRTAY-UHFFFAOYSA-N,O=C(c1c(O)cc(c(c1O)O)O)C=CC1CC=CC=C1,O=C(c1c(O)cc(c(c1O)O)O)C=CC1CC=CC=C1,308.1,0.141253148,0.1328,-7.8854,3.00171,368.3428354293038,0.006716175,-0.9321,-8.1136,165.98694,-0.805,-8.905,2.7129,NaN,NaN,254,NaN,254,NaN,NaN
ZLASBDHJWKFIPX-UHFFFAOYSA-N,Oc1cc2c(cc1O)oc1c(c2=O)c(O)c(c(c1)O)O,Oc1cc2c(cc1O)oc1c(c2=O)c(O)c(c(c1)O)O,306.0,0.124394089,0.033,-7.9322,2.35812,360.0005760903126,1.5677e-05,-1.3167,-8.7443,29.65829,-1.164,-9.007,2.19098,NaN,NaN,254,NaN,254,NaN,NaN
PMGSZSUGFKLEHE-UHFFFAOYSA-N,CCCCCCCCCC(CC(=O)c1c(O)cc(cc1O)O)CC=C(C)C,C(CC(=O)c1c(O)cc(cc1O)O)CC=C(C)C,270.3,0.060248761,0.6285,-8.4763,3.47763,350.63404526443344,0.000206486,-0.823,-8.5752,127.24665,-0.483,-9.334,3.88462,NaN,NaN,240,NaN,240,NaN,NaN
FIAQFUWVHGNSDW-UHFFFAOYSA-N,COc1cc(cc(c1OC)OC)c1oncc1c1ccc(c(c1)O)OC,COc1cc(cc(c1OC)OC)c1oncc1c1ccc(c(c1)O)OC,270.5,0.421102948,0.6627,-7.8955,6.51654,342.4977856505626,0.323806468,-0.659,-7.9106,54.99152,-0.799,-8.682,6.10628,NaN,NaN,931,NaN,931,NaN,NaN
ZXULVNWETGZQKV-UHFFFAOYSA-N,COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccc3c(c1)OCO3)c(n2C(=O)c1ccc(cc1)Cl)C,COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccc3c(c1)OCO3)c(n2C(=O)c1ccc(cc1)Cl)C,279.7,0.011897139,-0.0656,-7.7154,0.98476,325.1618106622178,0.107714374,-0.8727,-8.0825,130.46416,-1.064,-8.443,3.10549,NaN,NaN,210,NaN,210,NaN,NaN
PHFJQIFIRIZQJZ-UHFFFAOYSA-N,COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccsc1C(=O)OC)c(n2C(=O)c1ccc(cc1)Cl)C,COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccsc1C(=O)OC)c(n2C(=O)c1ccc(cc1)Cl)C,279.1,0.176990938,0.0364,-7.9579,3.43215,338.47720012422513,0.322482003,-1.1892,-8.0491,121.34593,-1.156,-8.613,2.23707,NaN,NaN,220,NaN,220,NaN,NaN
UWMQXLRVCTYPCK-UHFFFAOYSA-N,COc1ccc2c(c1)c(CC(=O)OCC(=O)NCc1ccccc1)c(n2C(=O)c1ccc(cc1)Cl)C,COc1ccc2c(c1)c(CC(=O)OCC(=O)NCc1ccccc1)c(n2C(=O)c1ccc(cc1)Cl)C,272.5,0.206562694,0.2025,-8.0161,3.11951,323.0437686438344,0.160042269,-0.6742,-8.1508,147.65333,-1.006,-8.754,5.70195,NaN,NaN,210,NaN,210,NaN,NaN
UTFMPNMRVBNYPD-UHFFFAOYSA-N,COc1ccc2c(c1)c(CC(=O)OCC(=O)N1CCSCC1)c(n2C(=O)c1ccc(cc1)Cl)C,COc1ccc2c(c1)c(CC(=O)OCC(=O)N1CCSCC1)c(n2C(=O)c1ccc(cc1)Cl)C,280.8,0.010700047,0.0387,-7.9834,1.28449,321.28582121146326,0.132195485,-0.6621,-8.1239,89.10349,-0.943,-8.506,1.55683,NaN,NaN,210,NaN,210,NaN,NaN
ORNXGISJPWULCB-GOTSBHOMSA-N,C=CC[C@H](C(=O)OCc1ccccc1)C[C@@H](C(=O)OCc1ccccc1)NC(=O)OC(C)(C)C,C=CC[C@H](C(=O)OCc1ccccc1)C[C@@H](C(=O)OCc1ccccc1)NC(=O)OC(C)(C)C,230.0,0.000353314,1.2347,-9.2745,4.20026,285.5462883590596,0.001649099,-0.0157,-8.943,48.79558,-0.038,-9.623,2.38174,NaN,NaN,254,NaN,254,NaN,NaN
DYGOYCMEQMZJOZ-YTWZBVJHSA-N,O=C(CC[C@@](C(=O)OCc1ccccc1)(NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)OCc1ccccc1)C)OCc1ccccc1,O=C(CC[C@@](C(=O)OCc1ccccc1)(NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)OCc1ccccc1)C)OCc1ccccc1,233.7,0.001334065,1.2413,-8.7232,2.19885,288.4695169974492,0.001517816,0.0926,-8.6232,97.93454,-0.12,-9.384,4.01509,NaN,NaN,254,NaN,254,NaN,NaN
OCOXCYAZHRHRIH-UPJQZGLLSA-N,O=C(N[C@H](C(=O)O)CCC(=O)O)CC[C@H](N(C(=O)c1ccc(cc1)N(C1CCc2c1cc1c(c2)nc([nH]c1=O)N)C)[2H])C(=O)O,O=C(N[C@H](C(=O)O)CCC(=O)O)CC[C@H](N(C(=O)c1ccc(cc1)N(C1CCc2c1cc1c(c2)nc([nH]c1=O)N)C)[2H])C(=O)O,277.5,0.074075733,0.4647,-7.9274,12.59811,333.2908559287733,0.130633844,-0.6525,-8.1784,372.42629,-0.78,-8.429,9.64808,NaN,NaN,2000,NaN,2000,NaN,NaN
RLGKSXCGHMXELQ-UHFFFAOYSA-N,c1ccc(cc1)C=Cc1ccc2c(n1)cccc2,c1ccc(cc1)C=Cc1ccc2c(n1)cccc2,290.9,0.384365275,0.0611,-8.2659,2.07604,330.53638604506443,0.315254583,-0.4822,-7.9802,24.05279,-0.941,-8.933,1.50095,NaN,NaN,800,NaN,800,NaN,NaN
ZSHBWXLCPPZNCW-UHFFFAOYSA-N,Cc1ccc2c(n1)c(O)c(cc2)C(=O)NCc1ccccc1,Cc1ccc2c(n1)c(O)c(cc2)C(=O)NCc1ccccc1,303.8,0.033925757,0.0472,-8.3285,5.40711,328.60906017891244,0.056528168,-0.8682,-8.4438,38.93951,-1.071,-9.082,5.53145,NaN,NaN,800,NaN,800,NaN,NaN
UYSUETCFMBIADB-UHFFFAOYSA-N,CCn1c(N)c(N)c(=O)n(c1=O)CC,CCn1c(N)c(N)c(=O)n(c1=O)CC,229.2,0.264721498,1.7685,-8.1646,4.45476,308.34170207785047,0.254187576,-0.6009,-8.7438,42.79146,0.036,-8.966,4.79509,NaN,NaN,254,NaN,254,NaN,NaN
ZWNGOYWZUZEHQG-UHFFFAOYSA-N,c1ccc2c(c1)c(c[nH]2)C1NCCc2c1[nH]c1c2cccc1,c1ccc2c(c1)c(c[nH]2)C1NCCc2c1[nH]c1c2cccc1,266.5,0.14746186,1.3181,-7.4677,3.75266,309.96049601375915,0.169380491,0.2604,-7.3652,37.39063,-0.157,-8.194,3.28581,NaN,NaN,254,NaN,254,NaN,NaN
GYSUMHYBHKCFOP-UHFFFAOYSA-N,COc1ccc2c(c1)[nH]c1c2cc2c(c1C)sc(c2C)C,COc1ccc2c(c1)[nH]c1c2cc2c(c1C)sc(c2C)C,295.6,0.039075961,1.0808,-7.1377,1.96960,339.58969708437047,0.010350517,0.0798,-7.4281,49.51511,-0.325,-7.845,1.79026,NaN,NaN,254,NaN,254,NaN,NaN
WKCBJEPYFRLOHJ-UHFFFAOYSA-N,Clc1nnc(c(c1)N1CCN(CC1)CCOc1ccc(cc1)n1cnnc1)Cl,Clc1nnc(c(c1)N1CCN(CC1)CCOc1ccc(cc1)n1cnnc1)Cl,316.4,0.016052517,0.1766,-8.885,4.98198,353.0301776922086,0.006516211,-1.0452,-8.6836,378.73635,-1.251,-9.515,2.40401,NaN,NaN,254,NaN,254,NaN,NaN
IMMWANKYSKQCQN-UHFFFAOYSA-N,O=C(OC1CC2C(C1(C)CC2)(C)C)C=Cc1cc(O)c(c(c1)O)O,O=C(OC1CC2C(C1(C)CC2)(C)C)C=Cc1cc(O)c(c(c1)O)O,276.5,0.02523167,0.2331,-8.0468,2.22057,301.22497183066974,0.002211577,-0.852,-8.6601,327.52928,-0.821,-9.064,1.53609,NaN,NaN,933,NaN,933,NaN,NaN
IAOZJIPTCAWIRG-UHFFFAOYSA-N,COC(=O)C(NC(=O)C(CC(=O)O)N)Cc1ccccc1,COC(=O)C(NC(=O)C(CC(=O)O)N)Cc1ccccc1,233.3,0.001282176,1.4525,-9.1774,3.27712,283.716701156759,0.001271984,-0.4129,-8.8754,61.88039,0.157,-9.587,2.86251,NaN,NaN,257,NaN,257,NaN,NaN
PUETUDUXMCLALY-HOTGVXAUSA-N,OC[C@@H]([C@@H](Cc1ccc(c(c1)OC)O)CO)Cc1ccc(c(c1)OC)O,OC[C@@H]([C@@H](Cc1ccc(c(c1)OC)O)CO)Cc1ccc(c(c1)OC)O,254.4,0.014524677,1.7037,-7.8703,3.70532,293.17616080752816,0.031408606,0.3984,-8.326,73.20352,0.04,-8.582,1.52377,NaN,NaN,225,NaN,225,NaN,NaN
HGXBRUKMWQGOIE-AFHBHXEDSA-N,COc1cc(ccc1O)[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1ccc(c(c1)OC)O,COc1cc(ccc1O)[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1ccc(c(c1)OC)O,248.6,0.093219734,1.9646,-7.8802,0.20950,289.9536913131517,0.014134365,0.5023,-8.2883,27.67819,0.055,-8.748,0.73249,NaN,NaN,225,NaN,225,NaN,NaN
XQZGTIQVRJGKRI-UHFFFAOYSA-N,O=C(c1cc(NCc2c(C)cccc2C)c2c(n1)c(C)c([nH]2)C)N(C)C,O=C(c1cc(NCc2c(C)cccc2C)c2c(n1)c(C)c([nH]2)C)N(C)C,267.3,0.039253081,1.3062,-7.8139,5.21942,330.53638604506443,0.157894863,-0.1088,-7.833,77.89121,-0.114,-8.194,6.00945,NaN,NaN,254,NaN,254,NaN,NaN
VOXZDWNPVJITMN-ZBRFXRBCSA-N,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,251.4,0.048265944,1.7363,-8.1266,0.79308,285.80958599701165,0.021575672,0.6257,-8.3723,62.59731,0.185,-8.849,0.70666,NaN,NaN,280,NaN,280,NaN,NaN
SHGAZHPCJJPHSC-UHFFFAOYSA-N,CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C,CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Nan,NaN,NaN,NaN,NaN,NaN,NaN,345,NaN,345,NaN,NaN
WTEVQBCEXWBHNA-UHFFFAOYSA-N,O=CC=C(CCC=C(C)C)C,O=CC=C(CCC=C(C)C)C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Nan,NaN,NaN,NaN,NaN,NaN,NaN,245,NaN,245,NaN,NaN
NaN,[O-][N+](=O)*,[O-][N+](=O)*,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Nan,NaN,NaN,NaN,NaN,NaN,NaN,254,NaN,254,NaN,NaN
FDXQKWSTUZCCTM-UHFFFAOYSA-N,CNCC(CC12CCC(c3c1cccc3)c1c2cccc1)O,CNCC(CC12CCC(c3c1cccc3)c1c2cccc1)O,237.0,0.000161121,1.6572,-8.4555,2.62773,289.885897604638,0.069501275,0.5499,-7.8732,33.03894,0.275,-9.155,2.66939,NaN,NaN,254,NaN,254,NaN,NaN
GKTGYRQYRGBCNO-UHSPDURASA-N,OC[C@H]1OC([C@@H]([C@@]1(O)C#C[2H])O)n1cc(O)c(=O)[nH]c1=O,OC[C@H]1OC([C@@H]([C@@]1(O)C#C[2H])O)n1cc(O)c(=O)[nH]c1=O,258.2,0.28776551,0.801,-8.5087,2.52155,300.786507533973,0.000656676,-0.981,-9.2485,68.83180,-0.88,-9.463,1.60433,NaN,NaN,279,NaN,279,NaN,NaN
HJTTWNKPNRHTNG-UHSPDURASA-N,C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(Cl)c(=O)[nH]c1=O)[2H],C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(Cl)c(=O)[nH]c1=O)[2H],246.0,0.285323837,0.5527,-8.9996,4.24472,305.45503425844703,0.000426185,-1.2436,-9.8538,124.72680,-0.729,-9.558,4.54199,NaN,NaN,276,NaN,276,NaN,NaN
SRKOFOZWTWCGHW-UHSPDURASA-N,C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(Br)c(=O)[nH]c1=O)[2H],C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(Br)c(=O)[nH]c1=O)[2H],251.7,0.261910109,0.4696,-8.9473,4.19717,304.7043460444917,0.000402733,-1.1983,-9.7393,241.81849,-1.034,-9.671,4.88807,NaN,NaN,278,NaN,278,NaN,NaN
OECVKSHMTIWGAJ-UHSPDURASA-N,C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(I)c(=O)[nH]c1=O)[2H],C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(I)c(=O)[nH]c1=O)[2H],266.0,0.006035432,0.5323,-8.7255,4.11453,NaN,NaN,NaN,Nan,NaN,-0.718,-8.711,4.71835,NaN,NaN,287,NaN,287,NaN,NaN
ZHWRGDGUOOXHKF-WQNBVQNVSA-N,C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1ncc(=O)[nH]c1=O)[2H],C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1ncc(=O)[nH]c1=O)[2H],271.2,0.008340844,-0.4145,-9.7995,0.46181,339.77582462456473,0.001685217,-1.8616,-9.8636,68.07974,-1.233,-10.426,2.48784,NaN,NaN,256,NaN,256,NaN,NaN
QXDXBKZJFLRLCM-UAKXSSHOSA-N,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cc(O)c(=O)[nH]c1=O,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cc(O)c(=O)[nH]c1=O,258.2,0.28064509,0.8587,-8.4432,3.19530,301.371410805794,0.001911257,-1.0432,-9.3331,48.74305,-0.904,-9.483,1.24969,NaN,NaN,280,NaN,280,NaN,NaN
WYXSYVWAUAUWLD-SHUUEZRQSA-N,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ncc(=O)[nH]c1=O,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ncc(=O)[nH]c1=O,271.6,0.007491921,-0.382,-9.7483,0.39808,339.12526916166206,0.001444756,-1.8568,-10.222,47.46901,-1.237,-10.401,1.12047,NaN,NaN,257,NaN,257,NaN,NaN
ZNRGSYUVFVNSAW-UHFFFAOYSA-N,OB(c1cccc(c1)[N+](=O)[O-])O,OB(c1cccc(c1)[N+](=O)[O-])O,316.1,1.714e-06,-0.279,-9.8542,6.44599,424.8944427878809,0.000891716,-2.4241,-9.9892,56.00556,-1.188,-10.41,6.81607,NaN,NaN,340,NaN,340,NaN,NaN
UORVGPXVDQYIDP-UHFFFAOYSA-N,B,B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Nan,NaN,NaN,NaN,NaN,NaN,NaN,438,NaN,438,NaN,NaN
VNWKTOKETHGBQD-UHFFFAOYSA-N,C,C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Nan,NaN,NaN,NaN,NaN,NaN,NaN,436,NaN,436,NaN,NaN
INQXQWNAHRIPPS-UHFFFAOYSA-N,Oc1ccc(cc1)c1n[nH]c(c1)c1cccc(c1)O,Oc1ccc(cc1)c1n[nH]c(c1)c1cccc(c1)O,255.9,0.402076488,0.8936,-7.7869,1.09310,295.69329455164245,0.57683486,-0.353,-8.0465,27.46827,-0.621,-8.702,1.39073,NaN,NaN,254,NaN,254,NaN,NaN
BSSFRDBTJOKTRA-UHFFFAOYSA-N,Oc1cccc(c1)c1ccnc(c1)c1cccs1,Oc1cccc(c1)c1ccnc(c1)c1cccs1,274.5,0.608320164,0.3073,-8.1679,3.90129,336.82205489134384,0.541291153,-0.5018,-7.8748,102.48835,-0.931,-8.92,3.37665,NaN,NaN,254,NaN,254,NaN,NaN
CQNIVANWPDNELE-UHFFFAOYSA-N,Cc1cc2c(n1c1ccccc1)CCc1c2[nH]c(=O)c(c1)S(=O)(=O)c1ccccc1,Cc1cc2c(n1c1ccccc1)CCc1c2[nH]c(=O)c(c1)S(=O)(=O)c1ccccc1,328.5,0.726872102,0.1354,-7.6653,12.77547,424.0225663662916,0.447002629,-1.2191,-7.8314,292.63554,-0.931,-8.626,13.07421,NaN,NaN,421.3,34243,421.3,34243,NaN
TZCDIEZAKHDZQS-UHFFFAOYSA-N,Cc1cc2c(n1c1ccccc1)CCc1c2[nH]c(=O)c(c1)C(=O)c1ccccc1,Cc1cc2c(n1c1ccccc1)CCc1c2[nH]c(=O)c(c1)C(=O)c1ccccc1,344.2,0.717653616,0.1406,-7.4605,10.65416,429.90360057386846,0.546149174,-1.073,-7.5968,123.07851,-0.888,-8.451,11.00139,NaN,NaN,441.5,23201,441.5,23201,NaN
IIMIDGLWGZKPTK-UHFFFAOYSA-N,N#Cc1cc2CCc3c(c2[nH]c1=O)cc(n3c1ccccc1)C,N#Cc1cc2CCc3c(c2[nH]c1=O)cc(n3c1ccccc1)C,335.9,0.751537811,-0.0364,-7.6809,14.29407,432.15126666261295,0.529520381,-1.19,-7.6632,176.34676,-1.077,-8.602,14.12366,NaN,NaN,331.6,NaN,331.6,NaN,NaN
